ff861b32809095{"ppm": 435, "dt": "2020-11-25T19:49:18.591380"}
ff861b42809094{"ppm": 436, "dt": "2020-11-25T19:49:50.652160"}
ff861af280a098{"ppm": 431, "dt": "2020-11-25T19:50:22.712880"}
ff861ac280a09b{"ppm": 428, "dt": "2020-11-25T19:50:54.773555"}
ff861ad280a09a{"ppm": 429, "dt": "2020-11-25T19:51:26.834299"}
ff861a7280a0a0{"ppm": 423, "dt": "2020-11-25T19:51:58.894778"}
ff861a5280a0a2{"ppm": 421, "dt": "2020-11-25T19:52:30.940360"}
ff861a7280a0a0{"ppm": 423, "dt": "2020-11-25T19:53:03.001093"}
ff861a9280a09e{"ppm": 425, "dt": "2020-11-25T19:53:35.061138"}
ff861ad280a09a{"ppm": 429, "dt": "2020-11-25T19:54:07.121468"}
ff861b1280a096{"ppm": 433, "dt": "2020-11-25T19:54:39.181730"}
ff861ab280a09c{"ppm": 427, "dt": "2020-11-25T19:55:11.241665"}
ff861a7280a0a0{"ppm": 423, "dt": "2020-11-25T19:55:43.301937"}
ff861a7280a0a0{"ppm": 423, "dt": "2020-11-25T19:56:15.361782"}
ff861ac280a09b{"ppm": 428, "dt": "2020-11-25T19:56:47.421996"}
ff861ae280a099{"ppm": 430, "dt": "2020-11-25T19:57:19.482066"}
ff861af280a098{"ppm": 431, "dt": "2020-11-25T19:57:51.542729"}
ff861a8280a09f{"ppm": 424, "dt": "2020-11-25T19:58:23.602807"}
ff861a6280a0a1{"ppm": 422, "dt": "2020-11-25T19:58:55.663210"}
ff861a4280a0a3{"ppm": 420, "dt": "2020-11-25T19:59:27.724032"}
ff861a9280a09e{"ppm": 425, "dt": "2020-11-25T19:59:59.784024"}
ff861aa280b09c{"ppm": 426, "dt": "2020-11-25T20:00:31.844127"}
ff861aa280b09c{"ppm": 426, "dt": "2020-11-25T20:01:03.906388"}
ff861a9280b09d{"ppm": 425, "dt": "2020-11-25T20:01:35.966775"}
ff861a8280b09e{"ppm": 424, "dt": "2020-11-25T20:02:08.027002"}
ff861ae280b098{"ppm": 430, "dt": "2020-11-25T20:02:40.087745"}
ff861b6280b090{"ppm": 438, "dt": "2020-11-25T20:03:12.148341"}
ff861b7280b08f{"ppm": 439, "dt": "2020-11-25T20:03:44.208944"}
ff861ac280b09a{"ppm": 428, "dt": "2020-11-25T20:04:16.269840"}
ff861ab280b09b{"ppm": 427, "dt": "2020-11-25T20:04:48.330337"}
ff861ac280b09a{"ppm": 428, "dt": "2020-11-25T20:05:20.390588"}
ff861ab280b09b{"ppm": 427, "dt": "2020-11-25T20:05:52.451374"}
